Item Number,Qty 1,Price Code,USD Price Blanks,
HL-102," 	2,500 ",C,0.68,
SM-4288, 	150 ,C,0.62,
SM-4291, 	250 ,C,0.26,
SM-4292, 	250 ,C,0.16,
SM-4300, 	200 ,C,0.62,
SM-4303, 	150 ,C,0.53,
SM-4306, 	200 ,C,0.59,
SM-4307, 	250 ,C,0.44,
SM-4308, 	250 ,C,0.41,
SM-4310, 	175 ,C,0.68,
SM-4311, 	200 ,C,0.77,
SM-4312, 	175 ,C,0.71,
SM-4315, 	150 ,C,0.56,
SM-4327, 	200 ,C,0.62,
SM-4329, 	200 ,C,0.59,
SM-4332, 	175 ,C,0.71,
SM-4334, 	250 ,C,0.44,
SM-4335, 	250 ,C,0.44,
SM-4353, 	200 ,C,0.80,
SM-4360, 	100 ,C,1.25,
SM-4365, 	100 ,C,1.16,
SM-4413, 	250 ,C,0.47,
SM-4420, 	250 ,C,0.44,
SM-4426, 	250 ,C,0.32,
SM-4433, 	75 ,C,2.15,
SM-4470, 	125 ,C,0.98,
SM-4471, 	250 ,C,0.35,
SM-4473, 	250 ,C,0.31,
SM-4483, 	250 ,C,0.31,
SM-4490, 	150 ,C,0.89,
SM-4493, 	250 ,C,0.31,
SM-4494, 	125 ,C,1.07,
SM-4495, 	250 ,C,0.44,
SM-4499, 	250 ,C,0.38,
SM-4519, 	75 ,C,1.61,
SM-4531, 	100 ,C,1.43,
SM-4538, 	25 ,C,5.36,
SM-4580, 	100 ,C,1.34,
SM-4584, 	75 ,C,1.79,
SM-4618, 	75 ,C,2.03,
SM-4619, 	200 ,C,0.89,
SM-4620, 	200 ,C,0.89,
SM-4621, 	200 ,C,0.89,
SM-4640, 	250 ,C,0.26,
SM-4801, 	125 ,C,0.59,
SM-4802, 	200 ,C,0.59,
SM-4803, 	200 ,C,0.44,
SM-4804, 	200 ,C,0.59,
SM-4807, 	150 ,C,0.53,
SM-4808, 	200 ,C,0.89,
SM-4809, 	200 ,C,0.89,
SM-4811, 	200 ,C,0.62,
SM-4814, 	200 ,C,0.59,
SM-4815, 	250 ,C,0.53,
SM-4818, 	200 ,C,0.44,
SM-4819, 	75 ,C,1.70,
SM-4822, 	250 ,C,0.44,
SM-4823, 	250 ,C,0.50,
SM-4826, 	250 ,C,0.50,
