SKU,Item Name,Imprint Method,Pricing-Qty1,Pricing-Qty2,Pricing-Qty3,Pricing-Qty4,Pricing-Qty5,Pricing-Price1,Pricing-Price2,Pricing-Price3,Pricing-Price4,Pricing-Price5,Pricing-Code1,Pricing-Code2,Pricing-Code3,Pricing-Code4,Pricing-Code5
A165352,Natural Gusseted Economy Tote,Blank,100,250,500,1000,2500,3.25,2.92,2.67,2.42,2.32,C,C,C,C,C
A165353,Colored Gusseted Economy Tote,Screen Print,100,250,500,1000,2500,4.05,3.68,3.47,3.18,3.08,C,C,C,C,C
A165353,Colored Gusseted Economy Tote,Embroidery,100,250,500,1000,2500,7.43,7.07,6.85,6.57,6.47,C,C,C,C,C
A165353,Colored Gusseted Economy Tote,Vivid Expressions,100,250,500,1000,2500,5.22,4.85,4.63,4.35,4.25,C,C,C,C,C
A165353,Colored Gusseted Economy Tote,Blank,100,250,500,1000,2500,3.82,3.45,3.23,2.95,2.85,C,C,C,C,C
A203,Vegas Valley Tote,Screen Print,50,100,250,500,1000,6.98,6.68,6.38,6.18,5.98,C,C,C,C,C
A203,Vegas Valley Tote,Vivid Expressions,100,250,500,1000,,8.12,7.82,7.62,7.42,,C,C,C,C,
A203,Vegas Valley Tote,Blank,50,100,250,500,1000,6.75,6.45,6.15,5.95,5.75,C,C,C,C,C
A207,Vegas Style Tote,Screen Print,50,100,250,500,1000,3.37,3.37,3.37,3.37,3.37,C,C,C,C,C
A207,Vegas Style Tote,Blank,50,100,250,500,1000,3.14,3.14,3.14,3.14,3.14,C,C,C,C,C
A210,East Hampton Tote,Screen Print,50,100,250,500,1000,6.48,6.18,5.88,5.68,5.48,C,C,C,C,C
A210,East Hampton Tote,Vivid Expressions,100,250,500,1000,,7.62,7.32,7.12,6.92,,C,C,C,C,
A210,East Hampton Tote,Blank,50,100,250,500,1000,6.25,5.95,5.65,5.45,5.25,C,C,C,C,C
